key,title,期間増加PV,期間増加スキ,稼働日数,推移PV,集計日
n83482b6b7f3e,柴犬から人間へ。note8カ月で迎えた自己表現のアップデート。| 画像生成AI | アイコン変更 | noteのつづけ方 | 自己分析  | note初心者 | 50代 | 心境の変化 | 試行錯誤 | 感謝 | ちびキャラ | アバター | 振り返り,106,24,6,13→9→16→57→1→5→5,2026-09-01
n71e758b9ea71,【Amazon Vine】3年間で900件レビューしたゴールド会員の記録 | 生成AI | やり方 | コツ |おすすめ | 主婦 | 副業 | 失敗談 | 不安 | 解決【レビューのご依頼はこちらへ】,59,0,6,10→8→10→16→3→8→4,2026-09-01
nfb759b0c7b2d,noteの区切り線、毎回どうする？ChatGPTで「吹き出し区切り線」を作ってみた【拡散希望】,28,4,6,1→5→10→6→1→2→3,2026-09-01
n5d9a470fe1c0,サイトマップ～赤柴亭へようこそ～,25,13,6,5→2→5→2→7→1→3,2026-09-01
nc9aa96cda50c,柴犬漫画を集めてみたよ,19,0,6,6→1→1→8→1→1→1,2026-09-01
ne7ca226de13b,あれこれ考える前にやってみちゃう～ずっと変わらない私の癖～【#66週ライラン 14/66】ChatGPT | AI活用 | プロンプト | 失敗談 | 気づき | 挑戦 | 最新 | 日常 | 週末,152,44,5,69→25→38→11→7→0→2,2026-09-01
nfb9e6adde298,るすばんの日の敗北,21,5,5,2→6→4→0→1→3→5,2026-09-01
n198fde45a7cb,小吉のおみくじを読み込んでみる。かげくらき/月の光をたよりにて/しずかにたどれ/のべのほそみち,10,1,5,0→0→3→2→1→1→3,2026-09-01
n07972023aba8,「かわいい」だけじゃない。動画生成AIを比べて分かった、私に合うモデル【第2回スキ動画コンテスト】,17,1,4,1→4→8→3→0→0→1,2026-09-01
nafeb83b2001c,愛犬を偲ぶ短歌,6,0,4,0→1→0→1→0→3→1,2026-09-01
n6670fd86573d,ナオユキさんに依頼したサイトマップが予想を超えて素敵すぎた【漫画ソムリエ羊ケ丘・予想クイズ答え合わせ🎓️】,4,1,4,0→1→1→1→0→1→0,2026-09-01
n5ffa80e71629,警戒心は消えていない。でも、好奇心が上回った――椿みきこさんの原点を発掘【⛏️初期記事発掘レイド⛑️その２】,9,0,3,1→2→5→1→0→0→0,2026-09-01
n8d76dbb391c7,半笑いで気絶する子犬まで出てきた。AI動画NG集を全部見せます【第２回スキ動画コンテストNG集】,8,1,3,1→3→3→0→0→0→1,2026-09-01
n23bc7c657501,家族になった日【#ちび創作大賞応募作】【動画部門】,6,0,3,0→0→2→2→2→0→0,2026-09-01
n3ba52b6a3fc2,ZINEを「ザイン」だと思っていた話,6,0,3,2→1→1→0→0→2→0,2026-09-01
n03d1969ede47,📖ぜひ赤柴の３冊を当ててみて！【ナオユキさんの漫画ソムリエ羊ケ丘・予想クイズ🎓️】,3,1,3,0→1→0→0→0→1→1,2026-09-01
