日付,ビュー合計,スキ合計,記事数,ビュー/記事,スキ/記事,スキ率(%),ビュー前日比(%),スキ前日比(%),スキ率前日比(%),フォロワー数,更新時刻
2026/08/20,45209,9131,138,327.6,66.17,20.2,0.0,0.0,0.0,530,23:11:56
2026/08/21,45390,9175,138,328.91,66.49,20.21,0.4,0.48,0.07,527,23:25:16
2026/08/22,45524,9207,138,329.88,66.72,20.22,0.3,0.35,0.07,540,22:45:40
2026/08/23,45643,9226,138,330.75,66.86,20.21,0.26,0.21,-0.03,555,22:46:57
2026/08/24,45989,9293,139,330.86,66.86,20.21,0.76,0.73,-0.01,557,23:28:01
2026/08/25,46117,9317,139,331.78,67.03,20.2,0.28,0.26,-0.03,563,23:30:18
2026/08/26,46202,9338,140,330.01,66.7,20.21,0.18,0.23,0.06,565,23:28:37
2026/08/28,46659,9389,140,333.28,67.06,20.12,0.99,0.55,-0.43,565,10:11:49
2026/08/29,46847,9419,140,334.62,67.28,20.11,0.4,0.32,-0.07,569,21:07:59
2026/08/30,47340,9507,141,335.74,67.43,20.08,1.05,0.93,-0.14,566,21:07:57
2026/08/31,47978,9627,143,335.51,67.32,20.07,1.35,1.26,-0.07,564,21:08:04
2026/09/01,48378,9714,143,338.31,67.93,20.08,0.83,0.9,0.05,577,21:15:43
2026/09/02,48611,9752,143,339.94,68.2,20.06,0.48,0.39,-0.09,578,21:15:59
2026/09/03,48871,9789,144,339.38,67.98,20.03,0.53,0.38,-0.15,579,05:12:27
