rank,key,title,期間増加PV,1日平均PV,期間開始PV,期間終了PV,分析期間(日),集計日
1,na7e4cd6cf9ab,わたしの好きなことはnoteにあった。【文藝大賞2026応募作品】AI活用 | 初心者 | 社会人 | 不安 | モチベ | 転機 | 日常 | 振り返り,739,36.95,0,739,20,2026-09-10
2,n76cbc3cf3925,柴犬に、今日もキュン✨️【#エッセイしりとり・アンカー】,680,34.0,0,680,20,2026-09-10
3,n038b4d1e735c,【朗読音声あり】たった一言のコメントが世界に1冊の絵本を生んだ日　【#BreakoutGrandPrix応募作】ChatGPT | 画像生成AI | AI活用 | 50代 | 主婦 | フリーランス | 挑戦 | ワクワク | 気づき,643,32.15,0,643,20,2026-09-10
4,n9b2b1f8b088e,ずぼらでもできた！AI伴走おしゃれなダッシュボード構築｜ Claude | GitHub | 生成AI | やり方 | 初心者 | 解決方法 | 非エンジニア | 失敗談 | 試行錯誤 | 達成感 | カスタマイズ,628,31.4,0,628,20,2026-09-10
5,nd92471ef6412,スキを返したいのに追えない…非エンジニアがツール自作した話｜Claude | AI活用 | 作り方 | 試行錯誤,580,29.0,0,580,20,2026-09-10
6,n524940e6abc1,総勢100作品！スキ動画コンテストの結果と学び 【スキ動画コンテスト感想】 | 動画生成AI | 振り返り | 感想 | 学び | 気づき | イベント |,554,27.7,0,554,20,2026-09-10
7,ne7ca226de13b,あれこれ考える前にやってみちゃう～ずっと変わらない私の癖～【#66週ライラン 14/66】ChatGPT | AI活用 | プロンプト | 失敗談 | 気づき | 挑戦 | 最新 | 日常 | 週末,460,23.0,0,460,20,2026-09-10
8,n7f5b3fd7b0bc,フォロワー8000人の温かな背中を見つめて考えること【ポントレ】生成AI | 画像生成AI | AI活用 | おすすめ | 感謝 | つながり | 最近の学び | 毎日note | 日記,434,21.7,0,434,20,2026-09-10
9,n83482b6b7f3e,柴犬から人間へ。note8カ月で迎えた自己表現のアップデート。| 画像生成AI | アイコン変更 | noteのつづけ方 | 自己分析  | note初心者 | 50代 | 心境の変化 | 試行錯誤 | 感謝 | ちびキャラ | アバター | 振り返り,382,19.1,431,813,20,2026-09-10
10,nebf6082a0c59,【コミックエッセイ】お風呂イス買い替えの罠｜笑える話 | 日常【文藝大賞2026応募作品】,326,16.3,0,326,20,2026-09-10
11,n71e758b9ea71,【Amazon Vine】3年間で900件レビューしたゴールド会員の記録 | 生成AI | やり方 | コツ |おすすめ | 主婦 | 副業 | 失敗談 | 不安 | 解決【レビューのご依頼はこちらへ】,187,9.35,2834,3021,20,2026-09-10
12,n5d9a470fe1c0,サイトマップ～赤柴亭へようこそ～,100,5.0,868,968,20,2026-09-10
13,nfb759b0c7b2d,noteの区切り線、毎回どうする？ChatGPTで「吹き出し区切り線」を作ってみた【拡散希望】,80,4.0,581,661,20,2026-09-10
14,nfb9e6adde298,るすばんの日の敗北,59,2.95,573,632,20,2026-09-10
15,n07972023aba8,「かわいい」だけじゃない。動画生成AIを比べて分かった、私に合うモデル【第2回スキ動画コンテスト】,53,2.65,560,613,20,2026-09-10
16,nc9aa96cda50c,柴犬漫画を集めてみたよ,49,2.45,795,844,20,2026-09-10
17,n3ba52b6a3fc2,ZINEを「ザイン」だと思っていた話,27,1.35,569,596,20,2026-09-10
18,n9bd41fda32ae,夏といえばこれ！スキ動画コンテスト・夏の陣【応募記事】,27,1.35,756,783,20,2026-09-10
19,n5ffa80e71629,警戒心は消えていない。でも、好奇心が上回った――椿みきこさんの原点を発掘【⛏️初期記事発掘レイド⛑️その２】,25,1.25,428,453,20,2026-09-10
20,n198fde45a7cb,小吉のおみくじを読み込んでみる。かげくらき/月の光をたよりにて/しずかにたどれ/のべのほそみち,22,1.1,176,198,20,2026-09-10
21,n8d76dbb391c7,半笑いで気絶する子犬まで出てきた。AI動画NG集を全部見せます【第２回スキ動画コンテストNG集】,13,0.65,515,528,20,2026-09-10
22,n4bab6120067a,【クリエイター図鑑】に参加してみたら、忘れ物を届ける犬が現れました,12,0.6,425,437,20,2026-09-10
23,n6670fd86573d,ナオユキさんに依頼したサイトマップが予想を超えて素敵すぎた【漫画ソムリエ羊ケ丘・予想クイズ答え合わせ🎓️】,12,0.6,364,376,20,2026-09-10
24,n23bc7c657501,家族になった日【#ちび創作大賞応募作】【動画部門】,11,0.55,559,570,20,2026-09-10
25,nd82c3b8f9396,SNSが苦手な自分がnoteを始めてみて思ったこと,11,0.55,428,439,20,2026-09-10
26,nde66740a50d1,２０２４年に初めて司法書士試験を受けてみた,11,0.55,410,421,20,2026-09-10
27,n6d97ea752c7e,母の胸ぐらをつかみたかった【短歌２首】,11,0.55,334,345,20,2026-09-10
28,n0b361aa022e1,赤柴さん的フード遍歴46種【サクッと見られるおまけ付き】,10,0.5,223,233,20,2026-09-10
29,nbcdec2ae5ac9,⛏️初期記事発掘レイド⛑️その１・ナオユキさん～秘密基地の少年～,10,0.5,461,471,20,2026-09-10
30,n9c89f0ac2e48,⛏️初期記事発掘レイドに参加します⛑️【発掘OK】【発掘隊】,10,0.5,386,396,20,2026-09-10
31,nafeb83b2001c,愛犬を偲ぶ短歌,9,0.45,264,273,20,2026-09-10
32,n03d1969ede47,📖ぜひ赤柴の３冊を当ててみて！【ナオユキさんの漫画ソムリエ羊ケ丘・予想クイズ🎓️】,8,0.4,384,392,20,2026-09-10
33,nb1d9e60e727a,少しはみ出たっていいんだよ～ 昔の私に言い返したいこと～【#66週ライラン13/66】,7,0.35,338,345,20,2026-09-10
34,n831447b20719,「ポイントがもうすぐ失効します」のお知らせにより【漫画】,7,0.35,132,139,20,2026-09-10
35,n4928a416c3c1,【ポントレ】ポン出しビルダーで画像生成を練習してみた・その１,6,0.3,530,536,20,2026-09-10
36,n16fe1b84b591,赤柴、Xに凍結されました🤣～いま距離を置きたいもの～【＃66週ライラン 10/66】,6,0.3,443,449,20,2026-09-10
37,nc3855b010315,左利きと編み物と　右利きに「強制」しないでほしいことについて,6,0.3,200,206,20,2026-09-10
38,nbf24e0c9b222,うそでしょ、こんなところにも沼があったなんて！～赤柴、ミニゲーム作りに挑戦中～,6,0.3,562,568,20,2026-09-10
39,n11b25f272da1,【画像生成練習】ポン出しビルダー練習帖・その２【ポントレ】,5,0.25,362,367,20,2026-09-10
